prefecture_id,prefecture,seo_keyword,search_volume,our_slug,data_source_url,source_type,resolution,parent_group,nearby_areas,salon_count
11,埼玉県,みずほ台 メンズエステ,2900,mizuhodai,/shiki/mizuhodai-station/all/,station,unique,志木・みずほ台,志木|朝霞|朝霞台|ふじみ野|上福岡,25
11,埼玉県,新座 メンズエステ,390,niiza,/shiki/niiza-station/all/,station,unique,志木・みずほ台,志木|朝霞|朝霞台|ふじみ野|上福岡,4
11,埼玉県,鶴瀬 メンズエステ,170,tsuruse,/shiki/tsuruse-station/all/,station,unique,志木・みずほ台,志木|朝霞|朝霞台|ふじみ野|上福岡,3
11,埼玉県,和光市 メンズエステ,1000,wakoshi,/shiki/wakoshi-station/all/,station,unique,志木・みずほ台,志木|朝霞|朝霞台|ふじみ野|上福岡,4
11,埼玉県,草加 メンズエステ,2900,souka,/souka/,parent_absorbed,absorbed: /souka/souka-station/all/,草加・谷塚,三郷|新田|八潮|谷塚,47
11,埼玉県,三郷 メンズエステ,720,misato,/souka/misato-city/all/,city,unique,草加・谷塚,草加|新田|八潮|谷塚,9
11,埼玉県,新田 メンズエステ,110,shinden,/souka/shinden-station/all/,station,unique,草加・谷塚,草加|三郷|八潮|谷塚,6
11,埼玉県,八潮 メンズエステ,590,yashio,/souka/yashio-city/all/,city,unique,草加・谷塚,草加|三郷|新田|谷塚,4
11,埼玉県,谷塚 メンズエステ,590,yatsuka,/souka/yatsuka-station/all/,station,unique,草加・谷塚,草加|三郷|新田|八潮,4
11,埼玉県,所沢 メンズエステ,9900,tokorozawa,/tokorozawa/,parent_absorbed,absorbed: /tokorozawa/tokorozawa-station/all/,所沢・入間,飯能|東所沢|入間|小手指|西所沢,72
11,埼玉県,飯能 メンズエステ,590,hanno,/tokorozawa/hanno-city/all/,city,unique,所沢・入間,所沢|東所沢|入間|小手指|西所沢,4
11,埼玉県,東所沢 メンズエステ,90,higashitokorozawa,/tokorozawa/higashitokorozawa-station/all/,station,unique,所沢・入間,所沢|飯能|入間|小手指|西所沢,4
11,埼玉県,入間 メンズエステ,590,iruma,/tokorozawa/iruma-city/all/,city,unique,所沢・入間,所沢|飯能|東所沢|小手指|西所沢,12
11,埼玉県,小手指 メンズエステ,590,kotesashi,/tokorozawa/kotesashi-station/all/,station,unique,所沢・入間,所沢|飯能|東所沢|入間|西所沢,7
11,埼玉県,西所沢 メンズエステ,170,nishitokorozawa,/tokorozawa/nishitokorozawa-station/all/,station,unique,所沢・入間,所沢|飯能|東所沢|入間|小手指,3
11,埼玉県,狭山 メンズエステ,480,sayama,/tokorozawa/sayama-city/all/,city,unique,所沢・入間,所沢|飯能|東所沢|入間|小手指,13
